,pcv,user_fei,protocol_equity,valid,cr,eth_usd
13649902,1095578053.26402,441712467.4083591,653865585.8556608,True,2.4802968765904634,4287.78647893
13651252,1085956788.6939907,431879096.8680811,654077691.8259096,True,2.514492589637187,4299.25070738
13652603,1105873216.192602,458298333.2307161,647574882.9618857,True,2.4129985557592772,4269.63270237
13653953,1103320904.9645753,427580320.6320714,675740584.3325039,True,2.580382799969814,4395.06
13655304,1111986832.9505405,435354388.95057803,676632443.9999624,True,2.5542106871392414,4400.65995818
13656654,1118903823.0291944,450314781.1463215,668589041.8828729,True,2.4847148480911785,4366.1537106
13658005,1112318388.4610775,452527347.83057535,659791040.6305021,True,2.4580136289962424,4325.8802976
13659355,1116628840.3332763,450636181.3057857,665992659.0274907,True,2.4778943339562245,4352.11617012
13660706,1113963230.3232985,442346580.012897,671616650.3104013,True,2.518304154834474,4375.96960607
13662056,1088029075.3193395,457926209.9844748,630102865.3348647,True,2.375992139336657,4195.76014163
13663407,1074313618.7968671,444225566.7339673,630088052.0628997,True,2.418396641812919,4194.64
13664757,1053450023.1548271,431448941.84759307,622001081.307234,True,2.4416562911097657,4158.18
13666107,1070371437.8380475,492339794.9312559,578031642.9067917,True,2.1740502166547406,4186.21491608
13667458,1049650466.2914227,488741788.2931582,560908677.9982646,True,2.1476585211940566,4109.38791207
13668808,1061739716.8635758,485062938.8125239,576676778.051052,True,2.188870004092266,4178.79212216
13670159,1049824619.6315758,477501408.3540525,572323211.2775233,True,2.1985791062906426,4159.49976563
13671509,1068309706.0977516,465739837.344778,602569868.7529737,True,2.293790696944189,4293.68894087
13672860,1080541679.6816783,467401610.2508744,613140069.4308038,True,2.3118056420509663,4341.94
13674210,1083770005.0652885,467118499.94275546,616651505.1225332,True,2.320117925533034,4357.89702852
13675561,1074449410.9690833,478012065.46625227,596437345.502831,True,2.2477453783955577,4268.48437608
13676911,1070442458.7288159,471484311.78674084,598958146.9420751,True,2.2703670768434656,4279.12729915
13678262,1054517484.0247637,462764278.9410599,591753205.0837039,True,2.278735701981597,4244.79960281
13679612,1050619313.7706004,452468232.0837911,598151081.6868093,True,2.321973653116137,4274.3161036
13680963,1055078502.4023451,446279286.47265995,608799215.9296852,True,2.3641664186154907,4322.46271291
13682313,1072112223.2822334,468560891.81819135,603551331.464042,True,2.288095831306017,4298.38239937
13683664,1080449177.2530115,445084762.6514772,635364414.6015342,True,2.427513291662728,4445.33024544
13685014,1101322993.487672,449361120.6982148,651961872.7894573,True,2.4508639994854082,4523.94022611
13686365,1104468507.547341,447983506.80851495,656485000.7388264,True,2.4654222549747407,4543.97309731
13687715,1101556396.2748828,473732306.72440857,627824089.5504743,True,2.32527184791665,4414.75134361
13689066,1046180515.8289281,493025240.31808937,553155275.5108389,True,2.121961372918666,4083.18192604
13690416,1043495434.3660483,487029967.5488072,556465466.8172412,True,2.14256925424507,4095.8557242
13691766,1039657660.1529902,483602771.11245877,556054889.0405314,True,2.1498174168055466,4094.75
13693117,1016101409.917759,463710987.2080586,552390422.7097005,True,2.191238590302914,4079.51179741
13694467,1025746808.0669587,470405447.7481545,555341360.318804,True,2.1805589475573477,4102.46671895
13695818,1034381546.3275458,469608090.7221479,564773455.6053979,True,2.2026484780892677,4144.4804446
13697168,1034703736.5399122,470602261.1492151,564101475.3906971,True,2.19867990861998,4141.8445492
13698519,1019708414.2577938,472107716.49145174,547600697.766342,True,2.1599062642651323,4067.68506597
13699869,1014441955.208746,473641109.50793195,540800845.700814,True,2.1417945673310634,4038.49271688
13701220,1015326363.8381559,466271346.7036459,549055017.13451,True,2.1775439795220355,4074.94312672
13702570,1023318658.9364927,468189582.8848862,555129076.0516065,True,2.1856929251416,4102.05705683
13703921,1014209574.9217243,472849494.7059251,541360080.2157992,True,2.144888778093085,4040.91426537
